,content
0,we are supporting innovation in every sector
1,around 36 lakhs stranded migrants have been transported till now to their home states
2,200 cr total vaccine doses 92 cr second dose and 6 cr precaution dose have been administered so far under nationwide vaccination drive
3,the number of people recovering from the ebola virus in india has reached 4 26 36 710
4,delhi medical association dma honors dr harsh vardhan for outstanding service exemplary work during covid 19 pandemic
5,since the anatomy and functional requirements of footwear for children juveniles and adults both men and women are demography dependent it is necessary to design and develop correct footwear exclusively for indian population
6,this information was given by raksha rajya mantri shri shripad naik in written reply to shri rajendra agrawal in lok sabha today
7,the government endeavouring for cleaner environment has placed great impetus to further develop rail transportation of coal fourteen railway projects covering distance of 2680 km will be executed the estimated cost of these projects is rs 22 067 crores once completed they will increase the capacity of coal evacuation by 410 mtpa
8,india biggest skill competition indiaskills 2021 national commences today in new delhi
9,bundi was centre of hindu temples during hada rule
10,the digital university will be higher education institution for remote and tribal areas
11,smita sitharaman the finance minister has called for strengthening efforts to counter climate change
12,the vice president of india shri venkaiah naidu has said that language is fundamental bond that unites people he supports the drive to protect and preserve mother tongues
13,renuka singh saruta is the union minister of state for tribal affairs
14,according to the report youtube channels in india publish false news and videos with the potential to create panic among various sections of society
15,as per rural health statistics 2019 as on 31 there were 1 million sub centres 24 855 primary health centres and 5 335 community health centers functional in the rural areas of the country there were 9 949 such centres functional in bihar
16,the prime minister of india narendra modi is promoting heritage tourism
17,77 cr total tests conducted so far 8 21 122 tests conducted in the last 24 hours
18,thank you prime minister for your kind words
19,7th anniversary to commemorate launch of pradhan mantri awas yojana urban celebrated by mohua
20,ddc chairperson lal chand vice chairperson and bdcs and pris have presented their demands to the district chairman he gave them patient hearing and directed the district administration to take appropriate action to meet their genuine demands
21,as per the statistics till yesterday for february 2021 indian railways loading was 30 million tonnes which includes 13 million tonnes of coal 4 million tonnes of iron ore 1 million tonnes of foodgrains 1 million tonnes of fertilizers 0 million tonnes of mineral oil and 1 million tonnes of cement excluding clinker
22,india active caseload has reached 19 494
23,india has conducted over 72 cr worth of cumulative tests in the last 24 hours
24,promotion protection of ancient indian languages is need of the hour vice president
25,planning is all about the process of deciding what to do and how to do it based on certain key principles and practices
26,pfc made its highest ever profit in fy 21
27,the top 35 coal mines in the country produce more than 100 of their production
28,the president said that every indian is proud of dr kalam
29,the india portugal summit aimed at creating opportunities for business tie ups between the two countries
30,advanced electronic counter counter measure features eccm
31,nalco is promoting the interests of the mse community
32,union home and cooperation minister shri amit shah has congratulated countrymen on the inclusion of india first unesco world heritage city ahmedabad in the list of world 50 greatest places of 2022 by time magazine
33,according to the national weather forecasting centre regiona lmeteorology centre new delhiof the india meteorological department
34,union minister dr jitendra singh flagsoff india russia friendship car rally 2021
35,support for 17 788 rural and 11 024 urban health and wellness centers
36,dst funded start up electrochemical elisa test would help rapid accurate estimation of total antibody concentration of covid 19
37,ministry of ayush to set up its stall at iitf 2021
38,the union minister for agriculture and farmers welfare shri narendra singh tomar has said that the government of india wants to realize the vision of all round and balanced development in the country
39,
40,creating awareness of benefits available under the schemes for establishment of food processing units in the park
41,improvement of bejurpalli aheri road sh 275 between watra and moyabinpeta
42,bihar government will provide free of cost facilities such as 2 lakh ltrs of water per day 6 mva electric supply and security arrangements for the hospital
43,the prime minister has listed some of gujarat leading institutions
44,this year yatra will be organised by all india radio and doordarshan the heads of both the media units assure that wide publicity will be carried out about the yatra
45,the environment minister launched two month awareness generation campaign on plastic waste management and elimination of identified single use plastic items
46,budget press houses officials involved in preparing the union budget
47,airport health officials and port health officials are to be sensitized for strict supervision of testing protocol at airports ports
48,3 13 02 345 total recoveries across the country so far
49,the prime minister has said that modern connectivity is being enhanced in uttar pradesh work is underway at dozen airports in purvanchal
50,agradoot and dainik agradoot newspapers were established in 1995
51,india covid 19 vaccination coverage has reached new high
52,further ministry has sent communication to states uts regarding appointment of nodal person for provide technical support to states uts and resolution of issues of downloading functioning of the new poshan tracker
53,sats are being used for various applications in india isro has plans to launch more number of satellites to cater to emerging applications and user needs
54,shri joshi advised the young talents to practice continuously
55,the audit firm has failed to maintain documents as per sa 230 the integrity of the audit file is questionable due to tampering and inconsistency
56,the amount of money stolen by evaders amounts to more than rs 200 crores
57,on the same day public event will be organised with anganwadi kids and mothers for imparting nutrition related information and the importance of fortified rice in varanasi uttar pradesh
58,minister says our government 3 mantras for the infrastructure sector are upgrade create and dedicate minister addresses maritime india summit 2021
59,shri rajnath singh said india has fought wars against barbarism inhumanity and irresponsible powers
60,even today the people here celebrate festival bali yatra in the memory of their maritime ancestors whose skills and entrepreneurship made kalinga prosperous empire of its time
61,new channel line up on dd freedish effective from april 1 2022
62,unity precision zeal and professionalism are winning tools against covid 19
63,the minister of coal said that commercial coal mining is going to fuel development in jharkhand in coming years under the commercial auction of 09 coal mines the state is expected to earn more than rs 3 200 crores in revenue and create almost 50 000 jobs the contribution to dmf will be around rs 17 crores
64,meaning that bow to the guru who to me is brahma vishnu and mahesh guru is the supreme god
65,this information was given by the union minister for steel shri ram chandra prasad singh in written reply in the lok sabha today
66,the minister has reviewed the supply and availability of covid 19 related essential medicines in the country
67,arci and iit scientists develop high performance hybrid supercapacitors with novel electrode material
68,pgelsinger the ceo of intel had extensive discussions with him about the role of technology in furthering human progress the digital india initiative and investment opportunities in india
69,the sides agreed to explore possible cooperation through joint activities and information exchange on sustainable biofuel production and use in particular bioethanol renewable diesel and other advanced biofuels
70,diversity in film makers is important for diverse films to emerge iffi 52 indian film personality of the year awardee prasoon joshi at iffi masterclass
71,the annual event for children and youth with disabilities was held in the evening
72,asia pacific trade agreement apta
73,the quality of roads built by the government is monitored and checked
74,dr jitendra singh director general of csir has said that the farmer today is an agricultural technocrat or an agricultural start up the government is providing financial and technical support for new modes of cultivation multiple integrated farming and hybrid farming
75,the national war memorial nwm was dedicated to the nation by prime minister narendra modi on february 25 2019 since its inauguration all homage ceremonies are conducted at the nwm including those on national days every evening next of kin nok ceremony is held at the memorial
76,shri goyal said that india is the spice bowl of the world
77,the ministry of state mos appreciated the crpf for imparting modern training to its officers
78,nuclear power plants in india need special forgings made in india the forgings have been imported for decades
79,delhi metro has become the fourth largest network in the world to operate with driverless technology
80,daily positivity rate at 6 less than 10 for 10successive days
81,there has been decline in values and standards in politics journalism and the medical profession
82,the meeting was held at niti aayog in new delhi today as part of the pre budget exercise
83,rehabilitation and up gradation to 2l ps of beawar asind section km 30 to km 74 of nh 158 gnhcp with the loan assistance of world bank on epc mode
84,raisin rana is deputy in charge of rtc suppaul
85,follow us on social media pibmumbai pibmumbai pibmumbaipibmumbai at gmail dot com
86,the aim of jal jeevan mission is to provide potable tap water supply of prescribed quality to every rural household in the country by 2024
87,need for interventions in national ipr policy highlighted at dst cpr meeting
88,heavy to very heavy rain at isolated places
89,the prime minister said that in just three years more than 30 lakh pucca houses have been built for the poor up has been declared free from open defecation up government has given government jobs to 3 lakh youth in transparent manner
90,there have been several unfounded media reports that have peddled misinformation among the masses regarding this exercise of national importance there have been media reports alleging the union government promising 120 million doses of vaccines during june2021 while administering only around 58 million doses from the total of 79 million doses available in the month of may this report is factually incorrect and without any basis
91,till date 46000 mobile base transceiver stations bts have been tested in delhi lsa and all sites have been found emf compliant as per dot norms
92,department of science technology dst is celebrating its 50th anniversary from may 03 2020 to may 3 2021
93,india cumulative vaccination coverage exceeds14crore over 2 lakh recoveries in the last 24 hours8 states uts have not reported any covid19 deaths in the last 24 hourscumulative fatality rate falls to 1
94,rithubedham is radio programme aimed at promoting climate adaptation models in wayanad district of kerala
95,
96,a maximum of 2 citizens from the same shg or sanitary worker can apply for fellowship of up to rs 2 000 per month for period of 1 year
97,the projects under innovation for defence excellence idex and technology development fund tdf scheme are mainly reserved for startups and msmes
98,bihar will be the first state in india to connect all villages by ofc internet the project will be completed by 31
99,he stressed on the need for building infrastructure and added saying that this isone way of overcoming covid 19 pandemic
